model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_volume_medio_22d,x_spy_volume,x_stress_index,x_ukx_close,x_baa_aaa_spread,x_baa,x_bollinger_width_20,x_obv,x_parkinson,x_indu_close,x_garman_klass,x_cpi,x_ndx_close,x_vix_term_spread,x_ret_spx_abs,x_atr_14,x_rv_diaria,x_industrial_production,x_aaa,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,9,2019-05-09,2019-06-11,22,0.021197149242029353,0.01689919814129003,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.004297951100739324,1.847238366434637e-05,0.02772817100197278
LSTM,9,2019-05-10,2019-05-13,1,0.016372706446234956,0.014095739602527423,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,16.04,73785313.86,112429293,-0.6718,7203.29,0.95,4.67,0.03176606957,9915466923,0.0001918477157,25942.37,0.0002502762167,254.277,7586.53,0.86,0.003713417756,30.92509629689349,1.378947143e-05,102.8757,3.72,2881.4,0.023749955261696945,0.15411020492393404,-0.0022769668437075327,5.184578007343444e-06,0.011792707702035665
LSTM,9,2019-05-10,2019-05-14,2,0.01717628201726358,0.010775165108988757,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,16.04,73785313.86,112429293,-0.6718,7203.29,0.95,4.67,0.03176606957,9915466923,0.0001918477157,25942.37,0.0002502762167,254.277,7586.53,0.86,0.003713417756,30.92509629689349,1.378947143e-05,102.8757,3.72,2881.4,0.023749955261696945,0.15411020492393404,-0.0064011169082748235,4.0974297673401835e-05,0.1277765512743807
LSTM,9,2019-05-10,2019-05-15,3,0.017626653500031342,0.014615015153450633,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,16.04,73785313.86,112429293,-0.6718,7203.29,0.95,4.67,0.03176606957,9915466923,0.0001918477157,25942.37,0.0002502762167,254.277,7586.53,0.86,0.003713417756,30.92509629689349,1.378947143e-05,102.8757,3.72,2881.4,0.023749955261696945,0.15411020492393404,-0.003011638346580709,9.069965530595388e-06,0.01870195042479006
LSTM,9,2019-05-10,2019-05-16,4,0.018324613505310318,0.015692808829681774,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,16.04,73785313.86,112429293,-0.6718,7203.29,0.95,4.67,0.03176606957,9915466923,0.0001918477157,25942.37,0.0002502762167,254.277,7586.53,0.86,0.003713417756,30.92509629689349,1.378947143e-05,102.8757,3.72,2881.4,0.023749955261696945,0.15411020492393404,-0.002631804675628544,6.926395850660267e-06,0.01266510193474768
LSTM,9,2019-05-10,2019-05-17,5,0.019078524058807982,0.012213698108198834,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,16.04,73785313.86,112429293,-0.6718,7203.29,0.95,4.67,0.03176606957,9915466923,0.0001918477157,25942.37,0.0002502762167,254.277,7586.53,0.86,0.003713417756,30.92509629689349,1.378947143e-05,102.8757,3.72,2881.4,0.023749955261696945,0.15411020492393404,-0.0068648259506091484,4.71258353321568e-05,0.1160543835963741
LSTM,9,2019-05-10,2019-05-20,6,0.01901976578662627,0.014918718144534418,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,16.04,73785313.86,112429293,-0.6718,7203.29,0.95,4.67,0.03176606957,9915466923,0.0001918477157,25942.37,0.0002502762167,254.277,7586.53,0.86,0.003713417756,30.92509629689349,1.378947143e-05,102.8757,3.72,2881.4,0.023749955261696945,0.15411020492393404,-0.00410104764209185,1.6818591762707125e-05,0.032030695246624497
LSTM,9,2019-05-10,2019-05-21,7,0.01933208277607858,0.014792262073613878,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,16.04,73785313.86,112429293,-0.6718,7203.29,0.95,4.67,0.03176606957,9915466923,0.0001918477157,25942.37,0.0002502762167,254.277,7586.53,0.86,0.003713417756,30.92509629689349,1.378947143e-05,102.8757,3.72,2881.4,0.023749955261696945,0.15411020492393404,-0.004539820702464703,2.0609972010527106e-05,0.03924327752303536
LSTM,9,2019-05-10,2019-05-22,8,0.019418736694990155,0.015153223811074113,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,16.04,73785313.86,112429293,-0.6718,7203.29,0.95,4.67,0.03176606957,9915466923,0.0001918477157,25942.37,0.0002502762167,254.277,7586.53,0.86,0.003713417756,30.92509629689349,1.378947143e-05,102.8757,3.72,2881.4,0.023749955261696945,0.15411020492393404,-0.004265512883916042,1.819460016285375e-05,0.03346699917515572
LSTM,9,2019-05-10,2019-05-23,9,0.020046551069883237,0.0157908042604168,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,16.04,73785313.86,112429293,-0.6718,7203.29,0.95,4.67,0.03176606957,9915466923,0.0001918477157,25942.37,0.0002502762167,254.277,7586.53,0.86,0.003713417756,30.92509629689349,1.378947143e-05,102.8757,3.72,2881.4,0.023749955261696945,0.15411020492393404,-0.004255746809466436,1.8111380906283752e-05,0.030878559154869478
