model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_true_range,x_parkinson,x_vix_term_spread,x_vix,x_garman_klass,x_ret_spx_abs,x_bollinger_width_20,x_rv_diaria,x_atr_14,x_rogers_satchell,x_macd,x_roc_10,x_spy_volume,x_cpi,x_aaa,x_ndx_close,x_ust_10y,x_yield_slope,x_spx_high,x_gold_close,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,13,2023-05-26,2023-06-06,6,0.011414773451344942,0.008860183370401937,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.0025545900809430047,6.525930481652388e-06,0.03498151195330346
TSMixerX,13,2023-05-26,2023-06-07,7,0.010843350976095576,0.008587252215290981,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.0022560987608045945,5.0899816185040265e-06,0.029453228992836422
TSMixerX,13,2023-05-26,2023-06-08,8,0.010963355907459038,0.008578544237316044,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.0023848116701429938,5.687326702050215e-06,0.03270304491265574
TSMixerX,13,2023-05-26,2023-06-09,9,0.011000392423681404,0.00948713206548363,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.0015132603581977742,2.2899569116928558e-06,0.011512032784979809
TSMixerX,13,2023-05-26,2023-06-12,10,0.009754297878923844,0.009634370191283189,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.00011992768764065506,1.4382650262834528e-08,7.683812946890356e-05
TSMixerX,13,2023-05-26,2023-06-13,11,0.009575790059929038,0.011365412308402711,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.0017896222484736733,3.2027477922319663e-06,0.013874541796726536
TSMixerX,13,2023-05-26,2023-06-14,12,0.009690085443569963,0.011914805792161863,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.0022247203485918996,4.949380629438863e-06,0.019959590413536787
TSMixerX,13,2023-05-26,2023-06-15,13,0.010300534416830048,0.011209327601758317,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.0009087931849282686,8.259050529720662e-07,0.0034757463935126687
TSMixerX,13,2023-05-26,2023-06-16,14,0.010403856356105936,0.011582553234609909,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.0011786968785039726,1.3893263313950088e-06,0.005558536111886614
TSMixerX,13,2023-05-26,2023-06-20,15,0.010446206735463872,0.012138405621312593,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.0016921988858487214,2.8635370692676542e-06,0.010726861690740774
