model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix,x_stress_index,x_true_range,x_parkinson,x_bollinger_width_20,x_macd,x_garman_klass,x_spy_volume,x_baa_aaa_spread,x_vix_term_spread,x_volume_medio_22d,x_ret_spx_abs,x_rogers_satchell,x_rv_diaria,x_baa,x_roc_10,x_rsi_14,x_ust_3m,x_spx_low,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,1,2011-09-14,2011-10-03,13,0.062099958014142434,0.03178426832663713,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.030315689687505303,0.0009190410412291154,0.2840215719050181
LSTM,1,2011-09-14,2011-10-04,14,0.07102008668795048,0.037348226715220055,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.03367185997273043,0.0011337941540231656,0.2588878442446927
LSTM,1,2011-09-14,2011-10-05,15,0.07215137621537404,0.03590723097840723,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.03624414523696681,0.001313638063958344,0.3115552442042193
LSTM,1,2011-09-14,2011-10-06,16,0.06852674877175942,0.025930481738663018,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.0425962670330964,0.0018144419651548553,0.6709052230733554
LSTM,1,2011-09-14,2011-10-07,17,0.06856469306030906,0.03331762245037261,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.03524707060993645,0.0012423559865818456,0.33621947555612963
LSTM,1,2011-09-14,2011-10-10,18,0.06910371308215027,0.027257190186718735,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.04184652289543153,0.0017511314784378754,0.6049560080719458
LSTM,1,2011-09-14,2011-10-11,19,0.0667726571575519,0.037013623316247364,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.029759033841304537,0.0008856000951679087,0.21399454999891
LSTM,1,2011-09-14,2011-10-12,20,0.06547146144769657,0.023169240529534934,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.04230222091816163,0.0017894778946089514,0.7870035135001401
LSTM,1,2011-09-14,2011-10-13,21,0.06596243404499239,0.03314700646388755,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.03281542758110483,0.0010768522873307357,0.30186372806590867
LSTM,1,2011-09-14,2011-10-14,22,0.06137250131966872,0.033909037141169454,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.027463464178499264,0.0007542418646837122,0.2166354650468949
