model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_volume_medio_22d,x_vix,x_spy_volume,x_ukx_close,x_bollinger_width_20,x_parkinson,x_indu_close,x_industrial_production,x_baa,x_cpi,x_obv,x_unemployment,x_ndx_close,x_vix_term_spread,x_garman_klass,x_ret_spx_abs,x_rv_diaria,x_macd,x_atr_14,x_true_range,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,10,2020-06-26,2020-07-10,9,0.06016710075595442,0.01780734273658186,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.042359758019372556,0.0017943490994597976,1.1612655896164146
TSMixerX,10,2020-06-26,2020-07-13,10,0.06275187285932446,0.020877714455457972,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.04187415840386649,0.0017534451420321026,0.9051807730389791
TSMixerX,10,2020-06-26,2020-07-14,11,0.05567526379111656,0.014529519506771676,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.04114574428434488,0.0016929722727126993,1.4885187885199302
TSMixerX,10,2020-06-26,2020-07-15,12,0.04555069088734759,0.02222598685849863,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.02332470402884896,0.0005440418180334028,0.33187029037243887
TSMixerX,10,2020-06-26,2020-07-16,13,0.0374299236416522,0.016719765960820483,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.020710157680831717,0.000428910631164913,0.43278426068429443
TSMixerX,10,2020-06-26,2020-07-17,14,0.030173363836266297,0.01395700319741011,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.01621636063885619,0.0002629703523694443,0.3909017003791879
TSMixerX,10,2020-06-26,2020-07-20,15,0.030394816562103653,0.015697250331952687,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.014697566230150966,0.0002160184530896741,0.27552817254150863
TSMixerX,10,2020-06-26,2020-07-21,16,0.030290341282222667,0.014698379023014496,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.015591962259208171,0.000243109287092572,0.3377030041408795
TSMixerX,10,2020-06-26,2020-07-22,17,0.027926713953357763,0.011096174234180942,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.01683053971917682,0.00028326706723878856,0.5938042862545281
TSMixerX,10,2020-06-26,2020-07-23,18,0.028365110353313374,0.014625023596662656,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.013740086756650718,0.00018878998408028845,0.2770657210639742
TSMixerX,10,2020-06-26,2020-07-24,19,0.02839424287054298,0.011906871447449445,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.016487371423093537,0.00027183341644304137,0.515623086832121
TSMixerX,10,2020-06-26,2020-07-27,20,0.025714930473561833,0.01478036623857816,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.010934564234983672,0.00011956469500898406,0.18603125399943066
TSMixerX,10,2020-06-26,2020-07-28,21,0.0243302029785805,0.01623497891251362,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.00809522406606688,6.553265267982838e-05,0.09407816158722193
TSMixerX,10,2020-06-26,2020-07-29,22,0.02320575109500664,0.01697531498608009,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.006230436108926551,3.881833410741582e-05,0.05438927915123681
